x,mean,sd,ymin,Lower,Middle,Upper,ymax
Clubhook Squid,0.084875962,0.066866843,0.003943,0.031576864,0.069686479,0.121771513,0.246846382
Grenadier,0.05707855,0.047402805,0.001752858,0.020204858,0.044440663,0.081903318,0.174496551
Magister Squid,0.107831197,0.069345759,0.005166502,0.051103371,0.100374418,0.154110394,0.257099913
Sablefish.Dogfish,0.349652682,0.144499269,0.063285419,0.247306995,0.353303346,0.448167917,0.622696247
Shortraker Rockfish,0.138863061,0.107400581,0.005265574,0.05540045,0.114728338,0.202786998,0.401075643
Skate,0.261698548,0.128879858,0.028248646,0.165514081,0.258427671,0.352573957,0.514863639
