"Species","d15N.m","d15N.sd","d13C.m","d13C.sd"
"1","Clubhook Squid",16.694,0.805442597444273,-18.829,0.551391169880533
"2","Grenadier",14.1290909090909,0.928494200259449,-19.6025,0.640127621723218
"3","Magister Squid",12.1088636363636,1.07256314588128,-18.8413636363636,0.80452092030293
"4","Ragfish",13.7066666666667,0.505206228517951,-18.26,0.6000833275471
"5","Sablefish",14.442,0.838512210568652,-17.9014733333333,0.602755114001155
"6","Shortraker Rockfish",15.1084090909091,0.925054223883517,-18.5625,0.538655194539746
"7","Skate",16.0517598712121,0.684057504503579,-17.9858681818182,0.537136355746226
"8","Spiny Dogfish",13.9317647058824,0.924958543176593,-17.7244117647059,1.01035904562166
