x,mean,sd,ymin,Lower,Middle,Upper,ymax
Clubhook Squid,0.156944546,0.100355101,0.009322627,0.076381003,0.143828187,0.224309001,0.370146103
Grenadier,0.069007444,0.053137637,0.003131807,0.026341726,0.057911035,0.099899227,0.193682578
Magister Squid,0.073077599,0.050617584,0.004428358,0.031438503,0.065499147,0.10496762,0.189708898
Sablefish.Dogfish,0.178433139,0.102699779,0.014236383,0.098462696,0.168955166,0.246857629,0.39483099
Shortraker Rockfish,0.16944104,0.122946549,0.005043385,0.072725613,0.148229818,0.241106298,0.459099769
Skate,0.35309623,0.141931839,0.062403993,0.259834875,0.358772397,0.452461076,0.61817832
