Source,Meand13C,SDd13C,Meand15N,SDd15N
Clubhook Squid,1.28,0.38,2.82,0.3
Grenadier,1.28,0.38,2.82,0.3
Magister Squid,1.28,0.38,2.82,0.3
Shortraker Rockfish,1.28,0.38,2.82,0.3
Skate,1.28,0.38,2.82,0.3
Sablefish.Dogfish,1.28,0.38,2.82,0.3
