Species,Meand13C,SDd13C,Meand15N,SDd15N,n
Clubhook Squid,-18.829,0.55139117,16.694,0.805442597,10
Grenadier,-19.6025,0.640127622,14.12909091,0.9284942,45
Magister Squid,-18.84136364,0.80452092,12.10886364,1.072563146,45
Ragfish,-18.26,0.600083328,13.70666667,0.505206229,3
Sablefish,-17.90147333,0.602755114,14.442,0.838512211,45
Shortraker Rockfish,-18.5625,0.538655195,15.10840909,0.925054224,45
Skate,-17.98586818,0.537136356,16.05175987,0.684057505,45
Spiny Dogfish,-17.72441176,1.010359046,13.93176471,0.924958543,35
