"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"deviance",111.361080289677,3.68253884685229,106.320918167698,108.679752101624,110.658376334778,113.24821642202,120.315419634416,1.00086291365604,3000
"loglik[1]",-4.43134612684635,0.669206210679489,-5.92325631221554,-4.84662954765207,-4.37739899772868,-3.95192936685391,-3.275634718194,1.00060254274178,3000
"loglik[2]",-1.60156366919091,0.233439791697568,-2.09288076037835,-1.75174734902358,-1.58954744709332,-1.44312664023516,-1.16240537930996,1.001551826316,1900
"loglik[3]",-1.13709786410638,0.200170288875689,-1.54752254458895,-1.27218797053515,-1.13645613153603,-0.998200005080753,-0.752809399135023,1.00076567432837,3000
"loglik[4]",-1.89405629449771,0.309771562559678,-2.56238542154266,-2.08631652301415,-1.87258521965836,-1.66968647271696,-1.36920359905854,1.00062920385046,3000
"loglik[5]",-1.18074569246959,0.190522404706337,-1.57692984764572,-1.29912083079908,-1.17636743583328,-1.05254605059522,-0.816504933347681,1.00060738682339,3000
"loglik[6]",-2.78248067729032,0.388476137693323,-3.63046776049141,-3.02460271400909,-2.74913643432931,-2.49992642976639,-2.13242172132373,1.00070845210766,3000
"loglik[7]",-2.28267104425858,0.272963713606822,-2.87201407134276,-2.4494175142512,-2.26406329194964,-2.09246199003827,-1.80877044842434,1.00070329692467,3000
"loglik[8]",-2.27471852571119,0.292225911259235,-2.9164662221935,-2.45376494635224,-2.24873015063179,-2.0696352811039,-1.78485166372413,1.00078775613457,3000
"loglik[9]",-0.773269116748108,0.182564840118131,-1.13923232090729,-0.893574106506579,-0.769380454039963,-0.642797598144016,-0.443656262151727,1.00080979880604,3000
"loglik[10]",-2.06264326701274,0.255209970091651,-2.61470706274867,-2.21978697211328,-2.0445369829874,-1.88167951918442,-1.62464617687325,1.00073517276552,3000
"loglik[11]",-0.862637858146125,0.188463837154417,-1.24358834771126,-0.989241190678626,-0.858373341438638,-0.728410868285307,-0.519163944780686,1.00050788889318,3000
"loglik[12]",-0.837795809952038,0.180514981815087,-1.20119707654282,-0.956147090870168,-0.832184677475083,-0.708649789272199,-0.503908011270381,1.00068811889548,3000
"loglik[13]",-2.08057187443644,0.302523046281418,-2.73791401755968,-2.26378299681549,-2.05478797733006,-1.86964647256499,-1.5751519349734,1.00110105112362,3000
"loglik[14]",-1.70799856820878,0.240685301419329,-2.22257162661429,-1.85386853754979,-1.69427451803444,-1.54341475252666,-1.2752788746082,1.00090657411176,3000
"loglik[15]",-0.840841141698222,0.183208852445247,-1.20794100644253,-0.961356010122996,-0.837015496033684,-0.710857899522849,-0.502192101132821,1.00060221528475,3000
"loglik[16]",-1.86658219262744,0.227762707690978,-2.35022239099427,-2.01243953930628,-1.85506120182652,-1.71182405608557,-1.44058795277029,1.00220500455224,1300
"loglik[17]",-0.774625239282188,0.185394941002136,-1.14468112845436,-0.89994586466378,-0.770928999640622,-0.643519124756915,-0.436520275037181,1.0007396596701,3000
"loglik[18]",-1.09851170599137,0.177039298603791,-1.45717988690693,-1.21856919027463,-1.09569863705967,-0.976004975820518,-0.76136702344606,1.00161503462328,1800
"loglik[19]",-0.937616110275677,0.167441810679865,-1.28127364838096,-1.05075417451477,-0.935917849393127,-0.820880820514399,-0.622869076728407,1.0020510817772,1300
"loglik[20]",-1.76613946261672,0.228358689353016,-2.2389265580813,-1.91043679925577,-1.75575483441841,-1.60639631869112,-1.36578952906698,1.00072736298518,3000
"loglik[21]",-2.2213469276944,0.364652973421071,-3.01630355494737,-2.44543376991473,-2.19408691268561,-1.95469473126484,-1.62539616064881,1.00064778732503,3000
