Source,Meand13C,SDd13C,Meand15N,SDd15N
Clubhook Squid,1.1,0.22,1.6,0.24
Grenadier,1.1,0.22,1.6,0.24
Magister Squid,1.1,0.22,1.6,0.24
Shortraker Rockfish,1.1,0.22,1.6,0.24
Skate,1.1,0.22,1.6,0.24
Sablefish.Dogfish,1.1,0.22,1.6,0.24
