"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"p.fac1[1,1]",0.080059281927457,0.105509018055791,7.71501038239033e-08,0.00431863466958367,0.0341462720308415,0.115709994092815,0.375069091726644,1.05053178194276,250
"p.fac1[2,1]",0.0624408076259768,0.0793203688663928,1.94151805288383e-09,0.00420923540569858,0.0277010901381073,0.0931064886863298,0.267257832061299,1.04678893079339,250
"p.fac1[3,1]",0.0459899789176045,0.0670592333741021,2.45904189022626e-09,0.00228150010214108,0.0185985019591331,0.0623725592161808,0.240176372495079,1.03528486571783,360
"p.fac1[1,2]",0.0323929913112513,0.0450263687616074,3.12727822380148e-08,0.00204646641685436,0.0136515849455615,0.0452062231608393,0.15911824604321,1.02782436408471,240
"p.fac1[2,2]",0.0282492065334615,0.0403219610478463,4.55950680627054e-09,0.00143565472192491,0.0115070130800114,0.0391111229080104,0.142935943580302,1.01605203929833,550
"p.fac1[3,2]",0.0731331327999631,0.135706531972168,3.62765491128762e-09,0.0023554280830111,0.0204744378130851,0.0814857559979192,0.468296907757798,1.03047896421567,510
"p.fac1[1,3]",0.057935603101088,0.062391697683572,5.45469795338671e-08,0.00599374839215577,0.0374047770581794,0.0907211591972193,0.213081417620975,1.05236958431878,340
"p.fac1[2,3]",0.0815034847742166,0.101353253001376,1.02202681877775e-09,0.00387788286754385,0.0344348659850941,0.128241924056589,0.339013582121498,1.03674707716878,260
"p.fac1[3,3]",0.234827984361751,0.224997953756269,6.1332747762248e-09,0.0179539709017699,0.189963544108594,0.396727236307954,0.745928924135768,1.05710562417116,320
"p.fac1[1,4]",0.243309101820721,0.151790360981061,5.22940699136742e-05,0.126323374377423,0.243714972420992,0.349522016298507,0.543700762031483,1.06462107327839,410
"p.fac1[2,4]",0.439347920975148,0.238381554948495,0.00053729289611542,0.267664948675376,0.470047550030794,0.624641529716444,0.824300445890292,1.00851919277971,1800
"p.fac1[3,4]",0.426084268384528,0.323813942623728,1.09562013586103e-05,0.119361055790081,0.396979626924134,0.698306313503915,0.998730145841595,1.02958692118682,780
"p.fac1[1,5]",0.110885081950671,0.139911729590345,6.2062418356088e-08,0.00804586852784742,0.0571665054200417,0.165214652218621,0.483062454963558,1.01164236673248,750
"p.fac1[2,5]",0.16679905698562,0.222738853648527,6.03659757532152e-07,0.0107741546706933,0.0647553578847966,0.243088346339586,0.778345054753367,1.08782422921786,250
"p.fac1[3,5]",0.113494588190826,0.18241087377819,3.91322593158764e-09,0.0053827718965729,0.0409616825566706,0.137889443454921,0.721704601206009,1.04408382466054,300
"p.fac1[1,6]",0.475417939888811,0.195425670215423,0.0152255319595931,0.36543016373804,0.491582175486818,0.603972376672579,0.823130378357613,1.09911760211213,360
"p.fac1[2,6]",0.221659523105577,0.191071264715656,2.68551723111993e-08,0.0367435982333498,0.19764786212744,0.354821861968793,0.636986477422927,1.00731102785196,760
"p.fac1[3,6]",0.106470047345327,0.123108920900546,1.07916831373831e-09,0.00670943584637935,0.0617543589310796,0.166379547310661,0.42867420866229,1.02444969284656,700
